district,lat,lon
LIMA,-12.05518604699995,-77.02650234591997
ANCON,-11.696872144499963,-77.09127984855976
ATE,-12.03874138699993,-76.8969226976585
BARRANCO,-12.143930547999958,-77.02025364152243
BREÑA,-12.059353788499976,-77.05012127798523
CARABAYLLO,-11.81926666749996,-76.99782306313092
CHACLACAYO,-11.992524042499952,-76.77645621999734
CHORRILLOS,-12.192302967499955,-77.00901716323634
CIENEGUILLA,-12.072514667499973,-76.77730697732854
COMAS,-11.932321139499948,-77.04060629515908
EL AGUSTINO,-12.041878882499958,-76.99579234353993
INDEPENDENCIA,-11.989002066999944,-77.04738687524508
JESUS MARIA,-12.078798500999937,-77.04663226219202
LA MOLINA,-12.090113234999933,-76.92269610276367
LA VICTORIA,-12.07432252299995,-77.01841566711225
LINCE,-12.085313415499968,-77.03702909606575
LOS OLIVOS,-11.965108154499973,-77.0731745141531
LURIGANCHO,-11.948831979999937,-76.76270113125373
LURIN,-12.23808349649994,-76.78388864703601
MAGDALENA DEL MAR,-12.096095036499946,-77.06835197831299
PUEBLO LIBRE,-12.076768139999956,-77.06797645482138
MIRAFLORES,-12.121498044999953,-77.02588691339551
PACHACAMAC,-12.149535229999941,-76.79128325700177
PUCUSANA,-12.468434,-76.77249706217883
PUENTE PIEDRA,-11.876447829499966,-77.07472213686505
PUNTA HERMOSA,-12.261759979999937,-76.72891846701259
PUNTA NEGRA,-12.298250917499956,-76.69919884038379
RIMAC,-12.020491599999957,-77.0352927227025
SAN BARTOLO,-12.367692604999945,-76.7188027052756
SAN BORJA,-12.09622843699995,-76.99567086918896
SAN ISIDRO,-12.098233281999939,-77.03552349316054
SAN JUAN DE LURIGANCHO,-11.948750792499936,-76.97809235193898
SAN JUAN DE MIRAFLORES,-12.155512163499964,-76.97232321620348
SAN LUIS,-12.072337470999969,-76.99595174287523
SAN MARTIN DE PORRES,-11.987875400499945,-77.09828801086594
SAN MIGUEL,-12.078436375999956,-77.09566156554186
SANTA ANITA,-12.043080547499954,-76.96199537615138
SANTA MARIA DEL MAR,-12.407971791499932,-76.76628538952383
SANTA ROSA,-11.804952167499948,-77.1600035891825
SANTIAGO DE SURCO,-12.124973422999943,-76.98227532370238
SURQUILLO,-12.114158742499939,-77.01043081446343
VILLA EL SALVADOR,-12.217501432999967,-76.94923822342403
VILLA MARIA DEL TRIUNFO,-12.176616697999947,-76.91902120058973
